Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,vx-accessleaf3a,Ethernet1,10.100.54.49/31,spine,vx-spine1,Ethernet1,10.100.54.48/31
l3leaf,vx-accessleaf3a,Ethernet2,10.100.54.51/31,spine,vx-spine2,Ethernet1,10.100.54.50/31
l3leaf,vx-accessleaf3b,Ethernet1,10.100.54.53/31,spine,vx-spine1,Ethernet2,10.100.54.52/31
l3leaf,vx-accessleaf3b,Ethernet2,10.100.54.55/31,spine,vx-spine2,Ethernet2,10.100.54.54/31
l3leaf,vx-borderleaf1a,Ethernet1,10.100.54.33/31,spine,vx-spine1,Ethernet5,10.100.54.32/31
l3leaf,vx-borderleaf1a,Ethernet2,10.100.54.35/31,spine,vx-spine2,Ethernet5,10.100.54.34/31
l3leaf,vx-borderleaf1b,Ethernet1,10.100.54.37/31,spine,vx-spine1,Ethernet6,10.100.54.36/31
l3leaf,vx-borderleaf1b,Ethernet2,10.100.54.39/31,spine,vx-spine2,Ethernet6,10.100.54.38/31
l3leaf,vx-borderleaf2a,Ethernet1,10.100.54.41/31,spine,vx-spine1,Ethernet3,10.100.54.40/31
l3leaf,vx-borderleaf2a,Ethernet2,10.100.54.43/31,spine,vx-spine2,Ethernet3,10.100.54.42/31
l3leaf,vx-borderleaf2b,Ethernet1,10.100.54.45/31,spine,vx-spine1,Ethernet4,10.100.54.44/31
l3leaf,vx-borderleaf2b,Ethernet2,10.100.54.47/31,spine,vx-spine2,Ethernet4,10.100.54.46/31
